Drug1,Drug2,cell,drug1_db,drug2_db,synergy
PEMETREXED,LETROZOLE,HT29,DB00642,DB01006,3.16
PEMETREXED,LETROZOLE,HCT15,DB00642,DB01006,1.51
PEMETREXED,LETROZOLE,HL60,DB00642,DB01006,-2.65
PEMETREXED,LETROZOLE,HCT116,DB00642,DB01006,3.83
PEMETREXED,LETROZOLE,COLO205,DB00642,DB01006,2.23
PEMETREXED,LETROZOLE,DU145,DB00642,DB01006,0.13
PEMETREXED,LETROZOLE,A498,DB00642,DB01006,1.76
PEMETREXED,LETROZOLE,786O,DB00642,DB01006,-5.26
PEMETREXED,LETROZOLE,ACHN,DB00642,DB01006,-2.55
PEMETREXED,LETROZOLE,A549,DB00642,DB01006,-12.45
PEMETREXED,LETROZOLE,RPMI8226,DB00642,DB01006,6.41
PEMETREXED,LETROZOLE,OVCAR8,DB00642,DB01006,17.67
PEMETREXED,LETROZOLE,SF295,DB00642,DB01006,0.73
PEMETREXED,LETROZOLE,NCIH322,DB00642,DB01006,-3.06
PEMETREXED,LETROZOLE,NCIH226,DB00642,DB01006,1.39
PEMETREXED,LETROZOLE,OVCAR4,DB00642,DB01006,-0.09
PEMETREXED,LETROZOLE,NCIH460,DB00642,DB01006,1.75
PEMETREXED,LETROZOLE,MOLT4,DB00642,DB01006,1.87
PEMETREXED,LETROZOLE,MCF7,DB00642,DB01006,-0.2
PEMETREXED,LETROZOLE,NCIH23,DB00642,DB01006,-0.28
PEMETREXED,LETROZOLE,KM12,DB00642,DB01006,-8.63
PEMETREXED,LETROZOLE,K562,DB00642,DB01006,1.64
PEMETREXED,LETROZOLE,MALME3M,DB00642,DB01006,-0.52
PEMETREXED,LETROZOLE,LOXIMVI,DB00642,DB01006,0
GEFITINIB,LETROZOLE,PC3,DB00317,DB01006,-5.41
GEFITINIB,LETROZOLE,SKMEL5,DB00317,DB01006,-7.1
GEFITINIB,LETROZOLE,CAKI1,DB00317,DB01006,-2.19
GEFITINIB,LETROZOLE,SKMEL2,DB00317,DB01006,-6.25
GEFITINIB,LETROZOLE,SKMEL28,DB00317,DB01006,0.1
GEFITINIB,LETROZOLE,MDAMB231,DB00317,DB01006,-0.69
GEFITINIB,LETROZOLE,HS578T,DB00317,DB01006,0.35
GEFITINIB,LETROZOLE,SNB19,DB00317,DB01006,-1.68
GEFITINIB,LETROZOLE,SKOV3,DB00317,DB01006,-5.02
GEFITINIB,LETROZOLE,UACC257,DB00317,DB01006,-1.62
GEFITINIB,LETROZOLE,U251MG,DB00317,DB01006,-4.49
GEFITINIB,LETROZOLE,SW620,DB00317,DB01006,-1.18
GEFITINIB,LETROZOLE,BT549,DB00317,DB01006,-5.21
GEFITINIB,LETROZOLE,T47D,DB00317,DB01006,-2.07
GEFITINIB,LETROZOLE,MDAMB468,DB00317,DB01006,-0.57
GEFITINIB,LETROZOLE,UACC62,DB00317,DB01006,-5.26
GEFITINIB,LETROZOLE,NCIH522,DB00317,DB01006,0.33
GEFITINIB,LETROZOLE,MALME3M,DB00317,DB01006,0.3
GEFITINIB,LETROZOLE,LOXIMVI,DB00317,DB01006,-4.7
GEFITINIB,LETROZOLE,KM12,DB00317,DB01006,-8.86
GEFITINIB,LETROZOLE,K562,DB00317,DB01006,-1.44
GEFITINIB,LETROZOLE,NCIH23,DB00317,DB01006,-5.3
GEFITINIB,LETROZOLE,MOLT4,DB00317,DB01006,-0.88
GEFITINIB,LETROZOLE,MCF7,DB00317,DB01006,-3.59
GEFITINIB,LETROZOLE,OVCAR4,DB00317,DB01006,-4.04
GEFITINIB,LETROZOLE,NCIH460,DB00317,DB01006,0.61
GEFITINIB,LETROZOLE,NCIH322,DB00317,DB01006,-2.12
GEFITINIB,LETROZOLE,NCIH226,DB00317,DB01006,-2.83
GEFITINIB,LETROZOLE,SF295,DB00317,DB01006,-3.05
GEFITINIB,LETROZOLE,RPMI8226,DB00317,DB01006,-4.8
GEFITINIB,LETROZOLE,OVCAR8,DB00317,DB01006,-1.91
GEFITINIB,LETROZOLE,ACHN,DB00317,DB01006,-0.72
GEFITINIB,LETROZOLE,A549,DB00317,DB01006,0.65
GEFITINIB,LETROZOLE,A498,DB00317,DB01006,-3.26
GEFITINIB,LETROZOLE,786O,DB00317,DB01006,-4.76
GEFITINIB,LETROZOLE,DU145,DB00317,DB01006,0.33
GEFITINIB,LETROZOLE,COLO205,DB00317,DB01006,-3.8
GEFITINIB,LETROZOLE,HL60,DB00317,DB01006,-2.23
GEFITINIB,LETROZOLE,HCT116,DB00317,DB01006,-2.7
GEFITINIB,LETROZOLE,HCT15,DB00317,DB01006,-6.64
GEFITINIB,LETROZOLE,IGROV1,DB00317,DB01006,-1.76
GEFITINIB,LETROZOLE,HT29,DB00317,DB01006,-8.84
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,MDAMB231,DB06589,DB06772,3.91
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,HS578T,DB06589,DB06772,15.35
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,SKMEL28,DB06589,DB06772,7.66
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,SKMEL5,DB06589,DB06772,5.27
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,PC3,DB06589,DB06772,-2.42
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,SKMEL2,DB06589,DB06772,14.56
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,CAKI1,DB06589,DB06772,8.24
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,T47D,DB06589,DB06772,1.84
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,MDAMB468,DB06589,DB06772,6.43
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,BT549,DB06589,DB06772,4.94
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,UACC62,DB06589,DB06772,7.68
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,NCIH522,DB06589,DB06772,-3.18
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,SKOV3,DB06589,DB06772,4.22
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,SNB19,DB06589,DB06772,4.93
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,SW620,DB06589,DB06772,34.92
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,UACC257,DB06589,DB06772,1.34
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,U251MG,DB06589,DB06772,5.31
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,NCIH322,DB06589,DB06772,2.3
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,NCIH226,DB06589,DB06772,16.7
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,OVCAR4,DB06589,DB06772,0.86
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,NCIH460,DB06589,DB06772,3.76
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,RPMI8226,DB06589,DB06772,6.52
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,OVCAR8,DB06589,DB06772,22.4
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,SF295,DB06589,DB06772,9.2
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,KM12,DB06589,DB06772,5.22
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,K562,DB06589,DB06772,14.19
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,MALME3M,DB06589,DB06772,9.13
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,LOXIMVI,DB06589,DB06772,3.42
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,MCF7,DB06589,DB06772,6.48
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,NCIH23,DB06589,DB06772,16.48
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,HCT15,DB06589,DB06772,17.51
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,HL60,DB06589,DB06772,23
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,HCT116,DB06589,DB06772,9.53
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,IGROV1,DB06589,DB06772,7.42
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,A498,DB06589,DB06772,2.47
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,786O,DB06589,DB06772,17.44
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,ACHN,DB06589,DB06772,10.57
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,COLO205,DB06589,DB06772,10.21
PAZOPANIB HYDROCHLORIDE,CABAZITAXEL,DU145,DB06589,DB06772,6.58
VEMURAFENIB,CABAZITAXEL,NCIH322,DB08881,DB06772,1.95
VEMURAFENIB,CABAZITAXEL,NCIH226,DB08881,DB06772,16.61
VEMURAFENIB,CABAZITAXEL,OVCAR4,DB08881,DB06772,10.28
VEMURAFENIB,CABAZITAXEL,NCIH460,DB08881,DB06772,5.95
VEMURAFENIB,CABAZITAXEL,RPMI8226,DB08881,DB06772,4.69
VEMURAFENIB,CABAZITAXEL,OVCAR8,DB08881,DB06772,17.73
VEMURAFENIB,CABAZITAXEL,SF295,DB08881,DB06772,15.51
VEMURAFENIB,CABAZITAXEL,KM12,DB08881,DB06772,10.12
VEMURAFENIB,CABAZITAXEL,K562,DB08881,DB06772,14.35
VEMURAFENIB,CABAZITAXEL,MALME3M,DB08881,DB06772,4.7
VEMURAFENIB,CABAZITAXEL,LOXIMVI,DB08881,DB06772,-8.23
VEMURAFENIB,CABAZITAXEL,MOLT4,DB08881,DB06772,-2.3
VEMURAFENIB,CABAZITAXEL,MCF7,DB08881,DB06772,2.95
VEMURAFENIB,CABAZITAXEL,NCIH23,DB08881,DB06772,7.68
VEMURAFENIB,CABAZITAXEL,HCT15,DB08881,DB06772,14.07
VEMURAFENIB,CABAZITAXEL,HL60,DB08881,DB06772,11.65
VEMURAFENIB,CABAZITAXEL,HCT116,DB08881,DB06772,6.53
VEMURAFENIB,CABAZITAXEL,IGROV1,DB08881,DB06772,9.81
VEMURAFENIB,CABAZITAXEL,HT29,DB08881,DB06772,1.91
VEMURAFENIB,CABAZITAXEL,A498,DB08881,DB06772,1.25
VEMURAFENIB,CABAZITAXEL,786O,DB08881,DB06772,7.13
VEMURAFENIB,CABAZITAXEL,ACHN,DB08881,DB06772,16.37
VEMURAFENIB,CABAZITAXEL,A549,DB08881,DB06772,12.17
VEMURAFENIB,CABAZITAXEL,COLO205,DB08881,DB06772,10.8
VEMURAFENIB,CABAZITAXEL,DU145,DB08881,DB06772,8.01
VEMURAFENIB,CABAZITAXEL,MDAMB231,DB08881,DB06772,5.93
VEMURAFENIB,CABAZITAXEL,HS578T,DB08881,DB06772,9.27
VEMURAFENIB,CABAZITAXEL,SKMEL28,DB08881,DB06772,3.7
VEMURAFENIB,CABAZITAXEL,SKMEL5,DB08881,DB06772,10.23
VEMURAFENIB,CABAZITAXEL,PC3,DB08881,DB06772,-0.58
VEMURAFENIB,CABAZITAXEL,SKMEL2,DB08881,DB06772,15.81
VEMURAFENIB,CABAZITAXEL,CAKI1,DB08881,DB06772,11.09
VEMURAFENIB,CABAZITAXEL,T47D,DB08881,DB06772,4.54
VEMURAFENIB,CABAZITAXEL,MDAMB468,DB08881,DB06772,2.87
VEMURAFENIB,CABAZITAXEL,BT549,DB08881,DB06772,4.92
VEMURAFENIB,CABAZITAXEL,UACC62,DB08881,DB06772,-1.57
VEMURAFENIB,CABAZITAXEL,NCIH522,DB08881,DB06772,-0.21
VEMURAFENIB,CABAZITAXEL,SKOV3,DB08881,DB06772,2.49
VEMURAFENIB,CABAZITAXEL,SNB19,DB08881,DB06772,11.1
VEMURAFENIB,CABAZITAXEL,SW620,DB08881,DB06772,27.78
VEMURAFENIB,CABAZITAXEL,UACC257,DB08881,DB06772,10.83
VEMURAFENIB,CABAZITAXEL,U251MG,DB08881,DB06772,21.79
ABIRATERONE,CABAZITAXEL,HCT15,DB05812,DB06772,28.68
ABIRATERONE,CABAZITAXEL,HL60,DB05812,DB06772,21.37
ABIRATERONE,CABAZITAXEL,HCT116,DB05812,DB06772,24.51
ABIRATERONE,CABAZITAXEL,IGROV1,DB05812,DB06772,13.02
ABIRATERONE,CABAZITAXEL,HT29,DB05812,DB06772,27.21
ABIRATERONE,CABAZITAXEL,A498,DB05812,DB06772,1.03
ABIRATERONE,CABAZITAXEL,786O,DB05812,DB06772,13.8
ABIRATERONE,CABAZITAXEL,ACHN,DB05812,DB06772,7.02
ABIRATERONE,CABAZITAXEL,A549,DB05812,DB06772,26.24
ABIRATERONE,CABAZITAXEL,COLO205,DB05812,DB06772,7.83
ABIRATERONE,CABAZITAXEL,DU145,DB05812,DB06772,10.04
ABIRATERONE,CABAZITAXEL,NCIH322,DB05812,DB06772,1.99
ABIRATERONE,CABAZITAXEL,NCIH226,DB05812,DB06772,16.12
ABIRATERONE,CABAZITAXEL,OVCAR4,DB05812,DB06772,4
ABIRATERONE,CABAZITAXEL,NCIH460,DB05812,DB06772,1.21
ABIRATERONE,CABAZITAXEL,RPMI8226,DB05812,DB06772,15.22
ABIRATERONE,CABAZITAXEL,OVCAR8,DB05812,DB06772,17
ABIRATERONE,CABAZITAXEL,SF295,DB05812,DB06772,6.89
ABIRATERONE,CABAZITAXEL,KM12,DB05812,DB06772,2.73
ABIRATERONE,CABAZITAXEL,K562,DB05812,DB06772,23.08
ABIRATERONE,CABAZITAXEL,MALME3M,DB05812,DB06772,15.69
ABIRATERONE,CABAZITAXEL,LOXIMVI,DB05812,DB06772,7.53
ABIRATERONE,CABAZITAXEL,MOLT4,DB05812,DB06772,-2.63
ABIRATERONE,CABAZITAXEL,MCF7,DB05812,DB06772,9.27
ABIRATERONE,CABAZITAXEL,NCIH23,DB05812,DB06772,14.33
ABIRATERONE,CABAZITAXEL,T47D,DB05812,DB06772,6.75
ABIRATERONE,CABAZITAXEL,BT549,DB05812,DB06772,5.09
ABIRATERONE,CABAZITAXEL,UACC62,DB05812,DB06772,11.44
ABIRATERONE,CABAZITAXEL,NCIH522,DB05812,DB06772,1.2
ABIRATERONE,CABAZITAXEL,SKOV3,DB05812,DB06772,7.53
ABIRATERONE,CABAZITAXEL,SNB19,DB05812,DB06772,4.2
ABIRATERONE,CABAZITAXEL,SW620,DB05812,DB06772,28.95
ABIRATERONE,CABAZITAXEL,UACC257,DB05812,DB06772,4.61
ABIRATERONE,CABAZITAXEL,U251MG,DB05812,DB06772,7.65
ABIRATERONE,CABAZITAXEL,MDAMB231,DB05812,DB06772,10.63
ABIRATERONE,CABAZITAXEL,HS578T,DB05812,DB06772,20.39
ABIRATERONE,CABAZITAXEL,SKMEL28,DB05812,DB06772,9.96
ABIRATERONE,CABAZITAXEL,SKMEL5,DB05812,DB06772,8.11
ABIRATERONE,CABAZITAXEL,PC3,DB05812,DB06772,-0.75
ABIRATERONE,CABAZITAXEL,SKMEL2,DB05812,DB06772,16.6
ABIRATERONE,CABAZITAXEL,CAKI1,DB05812,DB06772,5.25
RALOXIFENE,CABAZITAXEL,IGROV1,DB00481,DB06772,7.5
RALOXIFENE,CABAZITAXEL,LOXIMVI,DB00481,DB06772,4.6
MITOXANTRONE,AZACYTIDINE,NCIH522,DB01204,DB00928,0.36
MITOXANTRONE,AZACYTIDINE,UACC62,DB01204,DB00928,1.22
MITOXANTRONE,AZACYTIDINE,MDAMB468,DB01204,DB00928,-3.89
MITOXANTRONE,AZACYTIDINE,T47D,DB01204,DB00928,-6.37
MITOXANTRONE,AZACYTIDINE,BT549,DB01204,DB00928,1.61
MITOXANTRONE,AZACYTIDINE,SW620,DB01204,DB00928,0.67
MITOXANTRONE,AZACYTIDINE,U251MG,DB01204,DB00928,1.18
MITOXANTRONE,AZACYTIDINE,UACC257,DB01204,DB00928,0.19
MITOXANTRONE,AZACYTIDINE,SKOV3,DB01204,DB00928,3.26
MITOXANTRONE,AZACYTIDINE,SNB19,DB01204,DB00928,6.47
MITOXANTRONE,AZACYTIDINE,HS578T,DB01204,DB00928,-0.01
MITOXANTRONE,AZACYTIDINE,MDAMB231,DB01204,DB00928,-0.02
MITOXANTRONE,AZACYTIDINE,SKMEL28,DB01204,DB00928,4.22
MITOXANTRONE,AZACYTIDINE,SKMEL2,DB01204,DB00928,0.45
MITOXANTRONE,AZACYTIDINE,CAKI1,DB01204,DB00928,-5.28
MITOXANTRONE,AZACYTIDINE,SKMEL5,DB01204,DB00928,7.39
MITOXANTRONE,AZACYTIDINE,PC3,DB01204,DB00928,-8.98
MITOXANTRONE,AZACYTIDINE,HT29,DB01204,DB00928,5.98
MITOXANTRONE,AZACYTIDINE,IGROV1,DB01204,DB00928,3.29
MITOXANTRONE,AZACYTIDINE,HCT15,DB01204,DB00928,-1.5
MITOXANTRONE,AZACYTIDINE,HCT116,DB01204,DB00928,-4.61
MITOXANTRONE,AZACYTIDINE,HL60,DB01204,DB00928,0.64
MITOXANTRONE,AZACYTIDINE,COLO205,DB01204,DB00928,-1.96
MITOXANTRONE,AZACYTIDINE,DU145,DB01204,DB00928,0.68
MITOXANTRONE,AZACYTIDINE,786O,DB01204,DB00928,4.63
MITOXANTRONE,AZACYTIDINE,A498,DB01204,DB00928,4.07
MITOXANTRONE,AZACYTIDINE,A549,DB01204,DB00928,1.18
MITOXANTRONE,AZACYTIDINE,ACHN,DB01204,DB00928,3.31
MITOXANTRONE,AZACYTIDINE,OVCAR8,DB01204,DB00928,1.6
MITOXANTRONE,AZACYTIDINE,RPMI8226,DB01204,DB00928,1.12
MITOXANTRONE,AZACYTIDINE,SF295,DB01204,DB00928,1.3
MITOXANTRONE,AZACYTIDINE,NCIH226,DB01204,DB00928,1.1
MITOXANTRONE,AZACYTIDINE,NCIH322,DB01204,DB00928,-2.37
MITOXANTRONE,AZACYTIDINE,NCIH460,DB01204,DB00928,-2.53
MITOXANTRONE,AZACYTIDINE,OVCAR4,DB01204,DB00928,-5.29
MITOXANTRONE,AZACYTIDINE,MCF7,DB01204,DB00928,1.43
MITOXANTRONE,AZACYTIDINE,MOLT4,DB01204,DB00928,-2.93
MITOXANTRONE,AZACYTIDINE,NCIH23,DB01204,DB00928,-1.63
MITOXANTRONE,AZACYTIDINE,K562,DB01204,DB00928,-3.28
MITOXANTRONE,AZACYTIDINE,KM12,DB01204,DB00928,-7.39
MITOXANTRONE,AZACYTIDINE,LOXIMVI,DB01204,DB00928,-1.7
MITOXANTRONE,AZACYTIDINE,MALME3M,DB01204,DB00928,5.39
DACARBAZINE,ALLOPURINOL,IGROV1,DB00851,DB00437,-6.22
DACARBAZINE,ALLOPURINOL,HT29,DB00851,DB00437,0.8
DACARBAZINE,ALLOPURINOL,HCT15,DB00851,DB00437,0.32
DACARBAZINE,ALLOPURINOL,HL60,DB00851,DB00437,20.38
DACARBAZINE,ALLOPURINOL,HCT116,DB00851,DB00437,-3.31
DACARBAZINE,ALLOPURINOL,COLO205,DB00851,DB00437,1.12
DACARBAZINE,ALLOPURINOL,DU145,DB00851,DB00437,-1.09
DACARBAZINE,ALLOPURINOL,A498,DB00851,DB00437,-1.13
DACARBAZINE,ALLOPURINOL,786O,DB00851,DB00437,-0.89
DACARBAZINE,ALLOPURINOL,ACHN,DB00851,DB00437,-7.36
DACARBAZINE,ALLOPURINOL,A549,DB00851,DB00437,-1.03
DACARBAZINE,ALLOPURINOL,RPMI8226,DB00851,DB00437,2.84
DACARBAZINE,ALLOPURINOL,OVCAR8,DB00851,DB00437,0.61
DACARBAZINE,ALLOPURINOL,SF295,DB00851,DB00437,-3.13
DACARBAZINE,ALLOPURINOL,NCIH226,DB00851,DB00437,1.48
DACARBAZINE,ALLOPURINOL,OVCAR4,DB00851,DB00437,-2.37
DACARBAZINE,ALLOPURINOL,NCIH460,DB00851,DB00437,-5.5
DACARBAZINE,ALLOPURINOL,MOLT4,DB00851,DB00437,-6.47
DACARBAZINE,ALLOPURINOL,MCF7,DB00851,DB00437,-1.8
DACARBAZINE,ALLOPURINOL,NCIH23,DB00851,DB00437,-6.51
DACARBAZINE,ALLOPURINOL,KM12,DB00851,DB00437,-2.86
DACARBAZINE,ALLOPURINOL,K562,DB00851,DB00437,-4.55
DACARBAZINE,ALLOPURINOL,MALME3M,DB00851,DB00437,2.12
DACARBAZINE,ALLOPURINOL,LOXIMVI,DB00851,DB00437,-7.35
DACARBAZINE,ALLOPURINOL,UACC62,DB00851,DB00437,-1.43
DACARBAZINE,ALLOPURINOL,T47D,DB00851,DB00437,0.13
DACARBAZINE,ALLOPURINOL,MDAMB468,DB00851,DB00437,1.28
DACARBAZINE,ALLOPURINOL,BT549,DB00851,DB00437,2.44
DACARBAZINE,ALLOPURINOL,SW620,DB00851,DB00437,3.98
DACARBAZINE,ALLOPURINOL,UACC257,DB00851,DB00437,2.78
DACARBAZINE,ALLOPURINOL,U251MG,DB00851,DB00437,-4.34
DACARBAZINE,ALLOPURINOL,SKOV3,DB00851,DB00437,-2.01
DACARBAZINE,ALLOPURINOL,SNB19,DB00851,DB00437,-0.18
DACARBAZINE,ALLOPURINOL,MDAMB231,DB00851,DB00437,3.53
DACARBAZINE,ALLOPURINOL,HS578T,DB00851,DB00437,0.77
DACARBAZINE,ALLOPURINOL,SKMEL28,DB00851,DB00437,2.94
DACARBAZINE,ALLOPURINOL,SKMEL2,DB00851,DB00437,4.6
DACARBAZINE,ALLOPURINOL,CAKI1,DB00851,DB00437,-7.24
DACARBAZINE,ALLOPURINOL,SKMEL5,DB00851,DB00437,-0.09
DACARBAZINE,ALLOPURINOL,PC3,DB00851,DB00437,-1.01
VANDETANIB,CABAZITAXEL,RPMI8226,DB05294,DB06772,3.11
VANDETANIB,CABAZITAXEL,OVCAR8,DB05294,DB06772,24.14
VANDETANIB,CABAZITAXEL,SF295,DB05294,DB06772,10.01
VANDETANIB,CABAZITAXEL,NCIH322,DB05294,DB06772,-1.06
VANDETANIB,CABAZITAXEL,NCIH226,DB05294,DB06772,18.18
VANDETANIB,CABAZITAXEL,OVCAR4,DB05294,DB06772,2.95
VANDETANIB,CABAZITAXEL,NCIH460,DB05294,DB06772,-1.19
VANDETANIB,CABAZITAXEL,MOLT4,DB05294,DB06772,-3.9
VANDETANIB,CABAZITAXEL,MCF7,DB05294,DB06772,5.62
VANDETANIB,CABAZITAXEL,NCIH23,DB05294,DB06772,11.58
VANDETANIB,CABAZITAXEL,KM12,DB05294,DB06772,2.62
VANDETANIB,CABAZITAXEL,K562,DB05294,DB06772,7.94
VANDETANIB,CABAZITAXEL,MALME3M,DB05294,DB06772,15.22
VANDETANIB,CABAZITAXEL,LOXIMVI,DB05294,DB06772,1.87
VANDETANIB,CABAZITAXEL,IGROV1,DB05294,DB06772,1.75
VANDETANIB,CABAZITAXEL,HT29,DB05294,DB06772,11.74
VANDETANIB,CABAZITAXEL,HCT15,DB05294,DB06772,7.53
VANDETANIB,CABAZITAXEL,HL60,DB05294,DB06772,17.13
VANDETANIB,CABAZITAXEL,HCT116,DB05294,DB06772,25.2
VANDETANIB,CABAZITAXEL,COLO205,DB05294,DB06772,9.03
VANDETANIB,CABAZITAXEL,DU145,DB05294,DB06772,4.67
VANDETANIB,CABAZITAXEL,A498,DB05294,DB06772,-7.93
VANDETANIB,CABAZITAXEL,786O,DB05294,DB06772,7.56
VANDETANIB,CABAZITAXEL,ACHN,DB05294,DB06772,0.45
VANDETANIB,CABAZITAXEL,A549,DB05294,DB06772,25.5
VANDETANIB,CABAZITAXEL,MDAMB231,DB05294,DB06772,4.05
VANDETANIB,CABAZITAXEL,HS578T,DB05294,DB06772,15.27
VANDETANIB,CABAZITAXEL,SKMEL28,DB05294,DB06772,11.01
VANDETANIB,CABAZITAXEL,SKMEL2,DB05294,DB06772,12.85
VANDETANIB,CABAZITAXEL,CAKI1,DB05294,DB06772,3.09
VANDETANIB,CABAZITAXEL,SKMEL5,DB05294,DB06772,10.42
VANDETANIB,CABAZITAXEL,PC3,DB05294,DB06772,-4.22
VANDETANIB,CABAZITAXEL,UACC62,DB05294,DB06772,2.59
VANDETANIB,CABAZITAXEL,NCIH522,DB05294,DB06772,-6.21
VANDETANIB,CABAZITAXEL,T47D,DB05294,DB06772,8.82
VANDETANIB,CABAZITAXEL,MDAMB468,DB05294,DB06772,9.42
VANDETANIB,CABAZITAXEL,BT549,DB05294,DB06772,4.88
VANDETANIB,CABAZITAXEL,SW620,DB05294,DB06772,27.4
VANDETANIB,CABAZITAXEL,UACC257,DB05294,DB06772,-1.7
VANDETANIB,CABAZITAXEL,U251MG,DB05294,DB06772,7.45
VANDETANIB,CABAZITAXEL,SKOV3,DB05294,DB06772,0.15
VANDETANIB,CABAZITAXEL,SNB19,DB05294,DB06772,3.45
CRIZOTINIB,CABAZITAXEL,SW620,DB08865,DB06772,17.35
CRIZOTINIB,CABAZITAXEL,U251MG,DB08865,DB06772,10.9
CRIZOTINIB,CABAZITAXEL,UACC257,DB08865,DB06772,0
CRIZOTINIB,CABAZITAXEL,SKOV3,DB08865,DB06772,-0.72
CRIZOTINIB,CABAZITAXEL,SNB19,DB08865,DB06772,1.48
CRIZOTINIB,CABAZITAXEL,NCIH522,DB08865,DB06772,-3.49
CRIZOTINIB,CABAZITAXEL,UACC62,DB08865,DB06772,2.49
CRIZOTINIB,CABAZITAXEL,MDAMB468,DB08865,DB06772,0.86
CRIZOTINIB,CABAZITAXEL,T47D,DB08865,DB06772,5.16
CRIZOTINIB,CABAZITAXEL,BT549,DB08865,DB06772,2.29
CRIZOTINIB,CABAZITAXEL,SKMEL2,DB08865,DB06772,10.18
CRIZOTINIB,CABAZITAXEL,CAKI1,DB08865,DB06772,6.47
CRIZOTINIB,CABAZITAXEL,SKMEL5,DB08865,DB06772,9.47
CRIZOTINIB,CABAZITAXEL,PC3,DB08865,DB06772,-8.48
CRIZOTINIB,CABAZITAXEL,HS578T,DB08865,DB06772,7.03
CRIZOTINIB,CABAZITAXEL,MDAMB231,DB08865,DB06772,-1.79
CRIZOTINIB,CABAZITAXEL,SKMEL28,DB08865,DB06772,3.34
CRIZOTINIB,CABAZITAXEL,COLO205,DB08865,DB06772,13.26
CRIZOTINIB,CABAZITAXEL,DU145,DB08865,DB06772,3.2
CRIZOTINIB,CABAZITAXEL,786O,DB08865,DB06772,1.21
CRIZOTINIB,CABAZITAXEL,A498,DB08865,DB06772,-2.8
CRIZOTINIB,CABAZITAXEL,A549,DB08865,DB06772,12.31
CRIZOTINIB,CABAZITAXEL,ACHN,DB08865,DB06772,10.09
CRIZOTINIB,CABAZITAXEL,HT29,DB08865,DB06772,4.15
CRIZOTINIB,CABAZITAXEL,IGROV1,DB08865,DB06772,1.75
CRIZOTINIB,CABAZITAXEL,HCT15,DB08865,DB06772,10.57
CRIZOTINIB,CABAZITAXEL,HCT116,DB08865,DB06772,3.43
CRIZOTINIB,CABAZITAXEL,HL60,DB08865,DB06772,11.17
CRIZOTINIB,CABAZITAXEL,MCF7,DB08865,DB06772,0.35
CRIZOTINIB,CABAZITAXEL,MOLT4,DB08865,DB06772,-4.69
CRIZOTINIB,CABAZITAXEL,NCIH23,DB08865,DB06772,5.39
CRIZOTINIB,CABAZITAXEL,K562,DB08865,DB06772,4.85
CRIZOTINIB,CABAZITAXEL,KM12,DB08865,DB06772,-0.72
CRIZOTINIB,CABAZITAXEL,LOXIMVI,DB08865,DB06772,3.16
CRIZOTINIB,CABAZITAXEL,MALME3M,DB08865,DB06772,7.28
CRIZOTINIB,CABAZITAXEL,OVCAR8,DB08865,DB06772,17.41
CRIZOTINIB,CABAZITAXEL,RPMI8226,DB08865,DB06772,10.95
CRIZOTINIB,CABAZITAXEL,SF295,DB08865,DB06772,7.31
CRIZOTINIB,CABAZITAXEL,NCIH226,DB08865,DB06772,12.22
CRIZOTINIB,CABAZITAXEL,NCIH322,DB08865,DB06772,1.24
